time_new,AnkleAngle(deg),moment
0.63,-1.02720789,0
0.63000381,-1.02725749,0
0.63000761,-1.0273071,0
0.63002665,-1.02755528,0
0.63012182,-1.02879994,0
0.63040963,-1.03286496,0
0.63069744,-1.03699816,0
0.63106126,-1.04229434,0
0.63153291,-1.04934226,0
0.63218304,-1.0594068,0
0.63299338,-1.07266784,0
0.63347029,-1.08152679,0
0.6339472,-1.09064715,0
0.635,-1.10880217,0
0.63500606,-1.10891188,0
0.63501213,-1.10902161,0
0.63504244,-1.1095705,0
0.63519401,-1.11232069,0
0.63595188,-1.12617645,0
0.63708081,-1.14741747,0
0.63820974,-1.16871712,0
0.63917352,-1.1877252,0
0.64,-1.20351307,0
0.64000906,-1.20368948,0
0.64001812,-1.20386593,0
0.64006341,-1.20474876,0
0.64028986,-1.20917848,0
0.64142211,-1.23178877,0
0.64255436,-1.25419581,0
0.64368661,-1.27756154,0
0.64481887,-1.30186628,0
0.645,-1.30971152,0
0.6450119,-1.30998641,0
0.64502381,-1.31026138,0
0.64508332,-1.31163738,0
0.6453809,-1.31854503,0
0.64686879,-1.35362788,0
0.64804171,-1.38182599,0
0.64921463,-1.41054079,0
0.65,-1.4301649,0
0.65001263,-1.43048139,0
0.65002525,-1.43079795,0
0.65008838,-1.43238163,0
0.65040402,-1.44032228,0
0.6515028,-1.46818125,0
0.65260157,-1.49648608,0
0.65407792,-1.53541294,0
0.655,-1.56006067,0
0.65500898,-1.56030178,0
0.65501796,-1.5605429,0
0.65506284,-1.56174868,0
0.65528728,-1.5677818,0
0.65640947,-1.59800237,0
0.65753167,-1.62826337,0
0.65865386,-1.65865905,0
0.65977605,-1.68929381,0
0.66,-1.69538504,0
0.66001,-1.69565935,0
0.66002,-1.69593367,0
0.66006999,-1.6973055,0
0.66031997,-1.70417003,0
0.66142071,-1.73448483,0
0.66252145,-1.76492805,0
0.66401238,-1.80623115,0
0.665,-1.83405248,0
0.66501699,-1.83452773,0
0.66503398,-1.83500294,0
0.66511893,-1.83737849,0
0.66554366,-1.84923988,0
0.66690334,-1.88656634,0
0.66794553,-1.91512519,0
0.66898772,-1.94348806,0
0.67,-1.97114809,0
0.67002287,-1.97176533,0
0.67004575,-1.97238246,0
0.67016012,-1.97546644,0
0.67073198,-1.99084071,0
0.67204897,-2.02581409,0
0.67310667,-2.05362835,0
0.67416437,-2.08121825,0
0.675,-2.10287299,0
0.67501565,-2.10327822,0
0.67503131,-2.10368336,0
0.67510957,-2.1057078,0
0.67550091,-2.11579617,0
0.6765056,-2.14121764,0
0.67751029,-2.16614481,0
0.67851498,-2.1905672,0
0.67951966,-2.2144839,0
0.68,-2.2257994,0
0.68000864,-2.22600089,0
0.68001728,-2.22620234,0
0.68006047,-2.2272089,0
0.68027643,-2.23222462,0
0.68125578,-2.25456655,0
0.68223512,-2.27626738,0
0.68321447,-2.29734724,0
0.68419382,-2.31785752,0
0.685,-2.3342773,0
0.68501004,-2.33448367,0
0.68502008,-2.33468996,0
0.68507028,-2.33572046,0
0.68532127,-2.34084813,0
0.68624803,-2.35914193,0
0.68717479,-2.37684868,0
0.68841995,-2.40022643,0
0.68951007,-2.41922395,0
0.69,-2.42663076,0
0.69001027,-2.4268012,0
0.69002055,-2.42697154,0
0.69007192,-2.42782177,0
0.69032876,-2.43203534,0
0.69157813,-2.45156523,0
0.6925859,-2.46614866,0
0.69359367,-2.47971253,0
0.69460145,-2.49232108,0
0.695,-2.49704765,0
0.69501049,-2.49717094,0
0.69502098,-2.49729412,0
0.69507344,-2.49790844,0
0.69533573,-2.50094065,0
0.69646407,-2.51300831,0
0.69759242,-2.52388716,0
0.69872076,-2.53361133,0
0.69993904,-2.54215254,0
0.7,-2.54353939,0
0.70001417,-2.54363596,0
0.70002833,-2.5437323,0
0.70009916,-2.54421068,0
0.70045331,-2.54651757,0
0.70151909,-2.55260915,0
0.70258486,-2.55726785,0
0.70383475,-2.56094408,0
0.70494004,-2.56269313,0
0.705,-2.56275751,0
0.7050127,-2.56276839,0
0.7050254,-2.56277908,0
0.7050889,-2.56282968,0
0.70540641,-2.5630113,0
0.7066309,-2.56258023,0
0.70785538,-2.56036578,0
0.70907987,-2.5564637,0
0.71,-2.5522814,0
0.7100115,-2.55222401,0
0.71002299,-2.55216645,0
0.71008047,-2.55187615,0
0.71036786,-2.5503606,0
0.71145603,-2.54357911,0
0.7125442,-2.5351318,0
0.71363238,-2.52508512,0
0.71472055,-2.51352215,0
0.715,-2.5099324,0
0.71502624,-2.50963432,0
0.71505248,-2.5093354,0
0.71518369,-2.50782794,0
0.71583973,-2.49996627,0
0.71715138,-2.48189078,0
0.71846304,-2.46154749,0
0.71977469,-2.43907866,0
0.72,-2.43423383,0
0.72001816,-2.43390983,0
0.72003633,-2.43358541,0
0.72012715,-2.43195691,0
0.72058124,-2.42365213,0
0.72196685,-2.39567328,0
0.72318908,-2.36881111,0
0.72441131,-2.33997933,0
0.725,-2.32487543,0
0.72503209,-2.32409578,0
0.72506418,-2.32331485,0
0.72522461,-2.31939074,0
0.72602681,-2.29927648,0
0.72748171,-2.25923674,0
0.72933576,-2.19239706,0
0.73,-2.18194637,0
0.73002097,-2.18124806,0
0.73004194,-2.18054913,0
0.73014678,-2.17704508,0
0.73067097,-2.15928533,0
0.73212264,-2.10958815,0
0.7334101,-2.06358533,0
0.73469756,-2.01553508,0
0.735,-2.00682138,0
0.73501161,-2.00636818,0
0.73502321,-2.00591479,0
0.73508125,-2.00364513,0
0.73537144,-1.99222796,0
0.73682237,-1.93337142,0
0.73809898,-1.88046531,0
0.73937558,-1.82562274,0
0.74,-1.79980798,0
0.74002948,-1.79847273,0
0.74005897,-1.79713637,0
0.74020638,-1.79043791,0
0.74094345,-1.75652125,0
0.74255497,-1.68161209,0
0.74456175,-1.60370656,0
0.745,-1.5624458,0
0.74501655,-1.56163532,0
0.7450331,-1.56082455,0
0.74511585,-1.55676647,0
0.74552961,-1.53636847,0
0.74714385,-1.45289183,0
0.7485379,-1.37889798,0
0.74993195,-1.30307804,0
0.75,-1.29772927,0
0.75004884,-1.29506537,0
0.75009767,-1.2923992,0
0.75034185,-1.27903383,0
0.75156274,-1.21132146,0
0.75293382,-1.13245694,0
0.7543049,-1.05190676,0
0.755,-1.00845684,0
0.75505968,-1.00516463,0
0.75511936,-1.00186981,0
0.75541774,-0.98535624,0
0.75690969,-0.90178377,0
0.75840163,-0.81661054,0
0.75989358,-0.73008249,0
0.76,-0.69758855,0
0.76005279,-0.69450613,0
0.76010559,-0.69142205,0
0.76036955,-0.67597643,0
0.76168937,-0.59809835,0
0.76304201,-0.50938943,0
0.76439465,-0.41957558,0
0.765,-0.36883859,0
0.76504479,-0.3649707,0
0.76508958,-0.3611009,0
0.76531354,-0.34172298,0
0.76643331,-0.24408355,0
0.76776761,-0.14529614,0
0.76910191,-0.04566535,0
0.77,-0.02586145,0
0.77003823,-0.02393681,0
0.77007646,-0.02201186,0
0.7702676,-0.01238225,0
0.77122333,0.03589222,0
0.7726053,0.15076383,0
0.77398728,0.29048495,0
0.775,0.32745264,0
0.77503071,0.32925243,0
0.77506142,0.33105239,0
0.77521497,0.34005472,0
0.77598274,0.38513449,0
0.77762058,0.50263582,0
0.77925842,0.67231588,0
0.78,0.68718157,0
0.78002571,0.68945394,0
0.78005142,0.69172641,0
0.78017995,0.70309043,0
0.78082265,0.75996174,0
0.78249105,0.88051152,0
0.78462915,1.00109439,0
0.785,1.04945617,0
0.78513279,1.05306007,0
0.78526559,1.05666387,0
0.78592956,1.07468181,0
0.7876136,1.16477443,0
0.78929764,1.26421296,0
0.79,1.36332528,0
0.79001343,1.41066246,0
0.79002686,1.41169417,0
0.79009402,1.41272585,0
0.79042979,1.41788365,0
0.79209466,1.44365934,0
0.79352716,1.56300405,0
0.79393633,1.66506411,0
0.79407181,1.68290149,0
0.79416454,1.69854515,0
0.7942396,1.70565873,0
0.7942496,1.71121697,0
0.79425961,1.71383131,0
0.79430962,1.7143296,0
0.79455971,1.71482788,0
0.795,1.71731908,0
0.7950154,1.72977073,0
0.7950308,1.76736725,0
0.79510779,1.76845958,0
0.79549274,1.76955186,0
0.79648685,1.77501263,0
0.79748096,1.80230215,0
0.79877164,1.87234402,0
0.8,1.94231878,0
0.80002933,2.03316607,-0.002612137
0.80005866,2.1197717,-0.005224229
0.80020531,2.12179044,-0.018284034
0.80093857,2.12380926,-0.083566585
0.80242676,2.13390424,-0.215977558
0.80421571,2.18437378,-0.374998899
0.805,2.28831642,-0.4446637
0.80503023,2.41084435,-0.44653027
0.80506045,2.46539052,-0.448396808
0.80521158,2.46736947,-0.457729008
0.80596723,2.46934709,-0.504377832
0.80714188,2.47921551,-0.576868902
0.80831653,2.52808888,-0.649315254
0.80949118,2.60347359,-0.721716658
0.81,2.67741463,-0.753064615
0.81001991,2.75021293,-0.755142527
0.81003982,2.78307543,-0.757220419
0.81013937,2.78429204,-0.767609546
0.81063713,2.78550854,-0.819546988
0.81167279,2.79158946,-0.927566077
0.81235437,2.82195645,-0.998622424
0.81303594,2.88538411,-1.069653169
0.81371752,2.92705004,-1.140658306
0.81430619,2.968569,-1.201963894
0.81489486,3.00989645,-1.263250382
0.815,3.04541378,-1.27419432
0.8150231,3.08076305,-1.277226088
0.81504619,3.08741298,-1.280257821
0.81516167,3.08879437,-1.295415923
0.81573909,3.09017552,-1.371192529
0.8163165,3.09707757,-1.446945977
0.81689391,3.13149376,-1.522676267
0.81747132,3.16574834,-1.598383397
0.81836702,3.19983001,-1.715777261
0.81926272,3.23371615,-1.833154495
0.82,3.28584968,-1.929742918
0.8200346,3.33734074,-1.935253254
0.8200692,3.37930826,-1.940763501
0.8202422,3.38131487,-1.968313393
0.82104756,3.38332054,-2.096535887
0.82185292,3.39333497,-2.224709897
0.82310301,3.4385559,-2.423566622
0.82435309,3.4832967,-2.622306538
0.825,3.55175266,-2.725106284
0.82504795,3.61883128,-2.734375475
0.82509591,3.65222131,-2.743644452
0.82533567,3.65483989,-2.789986225
0.8265345,3.65745669,-3.021616703
0.82786957,3.670514,-3.279418999
0.82920465,3.73514183,-3.537059305
0.83,3.80291087,-3.690467053
0.83003218,3.86919412,-3.697653564
0.83006437,3.90537089,-3.704839957
0.83022529,3.90693087,-3.740770317
0.83102989,3.90849011,-3.920381268
0.83209211,3.9162752,-4.157545898
0.83349787,3.95492611,-4.471282256
0.83490363,4.0051756,-4.784844219
0.835,4.07042106,-4.806332628
0.83506695,4.13401872,-4.822533306
0.83513389,4.13907273,-4.838733563
0.83546863,4.14208709,-4.91972838
0.83709977,4.1450982,-5.314254286
0.83848873,4.16010571,-5.650002309
0.83987768,4.23153682,-5.985565639
0.84,4.29088159,-6.015108315
0.84005673,4.34869515,-6.029017068
0.84011347,4.35387945,-6.042925497
0.84039714,4.35617918,-6.112462985
0.84181547,4.35847667,-6.460033154
0.84323381,4.36993114,-6.807407814
0.84465215,4.42642474,-7.154841572
0.845,4.48160847,-7.240053789
0.84524832,4.53530311,-7.298634959
0.84549664,4.55054869,-7.357211448
0.84673822,4.56165056,-7.650023688
0.84809333,4.57269207,-7.969473692
0.84944843,4.62706685,-8.288784283
0.85,4.68001508,-8.418712652
0.85014472,4.72971473,-8.450680151
0.85028943,4.73551474,-8.482646171
0.85101302,4.74129561,-8.642453844
0.85255089,4.76993252,-8.981978799
0.85408876,4.82047328,-9.321335281
0.855,4.86951158,-9.522334651
0.8553173,4.89246143,-9.588303625
0.85563459,4.90633643,-9.654265851
0.85722108,4.92009235,-9.984288882
0.85861998,4.96809007,-10.27535523
0.86,5.02908302,-10.56239216
0.86088241,5.03988136,-10.74172594
0.86176482,5.06797164,-10.92101909
0.8631116,5.09556904,-11.19458592
0.86445837,5.13247902,-11.46805811
0.865,5.16831033,-11.57801262
0.86534999,5.17341199,-11.65096255
0.86569997,5.18297929,-11.72390593
0.86735341,5.19248297,-12.06842208
0.86899587,5.23329786,-12.41055414
0.87,5.28923942,-12.61992755
0.87051144,5.2948043,-12.73392656
0.87102288,5.30550131,-12.84791345
0.87269992,5.31612231,-13.22160058
0.87437696,5.35387298,-13.59515737
0.875,5.39053654,-13.73390345
0.87518649,5.4059418,-13.77919794
0.87537297,5.4185188,-13.82449068
0.87630541,5.43100107,-14.050928
0.87774652,5.46209746,-14.4008085
0.87918763,5.49248115,-14.75058407
0.88,5.50877241,-14.94770998
0.88027164,5.52068657,-15.01968353
0.88054328,5.53253348,-15.09165302
0.88190149,5.56198905,-15.45153671
0.88335103,5.59090566,-15.83569958
0.88480056,5.60533097,-16.21976093
0.885,5.62158394,-16.27259529
0.88569293,5.6377561,-16.46930263
0.88638585,5.66484207,-16.66598513
0.88786813,5.69155865,-17.08663703
0.88935041,5.69755603,-17.5071752
0.89,5.70979687,-17.69143514
0.89049789,5.72201555,-17.84146194
0.89099578,5.74920899,-17.99147512
0.89279338,5.7761842,-18.53297165
0.89459098,5.78716263,-19.07432552
0.895,5.80440658,-19.19749377
