Time,AnkleAngle(deg),ActuatorMoment
0.63,-1.02720789,-0
0.63000356,-1.02725749,-0
0.63000712,-1.0273071,-0
0.63002491,-1.02755528,-0
0.63011386,-1.02879994,-0
0.6304013,-1.03286496,-0
0.63068874,-1.03699816,-0
0.63104984,-1.04229434,-0
0.63151765,-1.04934226,-0
0.6321611,-1.0594068,-0
0.63296857,-1.07266784,-0
0.63348612,-1.08152679,-0
0.63400368,-1.09064715,-0
0.635,-1.10880217,-0
0.63500592,-1.10891188,-0
0.63501184,-1.10902161,-0
0.63504145,-1.1095705,-0
0.63518951,-1.11232069,-0
0.63592976,-1.12617645,-0
0.6370568,-1.14741747,-0
0.63818385,-1.16871712,-0
0.6391822,-1.1877252,-0
0.64,-1.20351307,-0
0.64000906,-1.20368948,-0
0.64001812,-1.20386593,-0
0.6400634,-1.20474876,-0
0.64028985,-1.20917848,-0
0.64142207,-1.23178877,-0
0.64250108,-1.25419581,-0
0.64358009,-1.27756154,-0
0.64465911,-1.30186628,-0
0.645,-1.30971152,-0
0.64501189,-1.30998641,-0
0.64502378,-1.31026138,-0
0.64508324,-1.31163738,-0
0.64538052,-1.31854503,-0
0.64686691,-1.35362788,-0
0.64803917,-1.38182599,-0
0.64921143,-1.41054079,-0
0.65,-1.4301649,-0
0.65001264,-1.43048139,-0
0.65002528,-1.43079795,-0
0.65008848,-1.43238163,-0
0.65040447,-1.44032228,-0
0.65150189,-1.46818125,-0
0.65259931,-1.49648608,-0
0.65407831,-1.53541294,-0
0.655,-1.56006067,-0
0.65500898,-1.56030178,-0
0.65501796,-1.5605429,-0
0.65506287,-1.56174868,-0
0.65528739,-1.5677818,-0
0.65640999,-1.59800237,-0
0.65753259,-1.62826337,-0
0.65865519,-1.65865905,-0
0.65977779,-1.68929381,-0
0.66,-1.69538504,-0
0.66001,-1.69565935,-0
0.66002,-1.69593367,-0
0.66007,-1.6973055,-0
0.66032,-1.70417003,-0
0.66142082,-1.73448483,-0
0.66252164,-1.76492805,-0
0.66400507,-1.80623115,-0
0.665,-1.83405248,-0
0.66501701,-1.83452773,-0
0.66503401,-1.83500294,-0
