time_new,AnkleAngle(deg),moment_newnew
0.63,-1.02720789,0
0.6300035,-1.02725749,0
0.630007,-1.0273071,0
0.63002449,-1.02755528,0
0.63011194,-1.02879994,0
0.63039939,-1.03286496,0
0.63068684,-1.03699816,0
0.63104734,-1.04229434,0
0.63151434,-1.04934226,0
0.63215641,-1.0594068,0
0.63296339,-1.07266784,0
0.63349991,-1.08152679,0
0.63403644,-1.09064715,0
0.635,-1.10880217,0
0.63500589,-1.10891188,0
0.63501178,-1.10902161,0
0.63504123,-1.1095705,0
0.63518847,-1.11232069,0
0.63592469,-1.12617645,0
0.63705257,-1.14741747,0
0.63818045,-1.16871712,0
0.63918613,-1.1877252,0
0.64,-1.20351307,0
0.64000907,-1.20368948,0
0.64001814,-1.20386593,0
0.64006349,-1.20474876,0
0.64029026,-1.20917848,0
0.64142408,-1.23178877,0
0.64250271,-1.25419581,0
0.64358133,-1.27756154,0
0.64465995,-1.30186628,0
0.645,-1.30971152,0
0.64501191,-1.30998641,0
0.64502382,-1.31026138,0
0.64508337,-1.31163738,0
0.64538114,-1.31854503,0
0.64686996,-1.35362788,0
0.64804241,-1.38182599,0
0.64921487,-1.41054079,0
0.65,-1.4301649,0
0.65001264,-1.43048139,0
0.65002528,-1.43079795,0
0.65008847,-1.43238163,0
0.65040444,-1.44032228,0
0.65150212,-1.46818125,0
0.6525998,-1.49648608,0
0.65407799,-1.53541294,0
0.655,-1.56006067,0
0.65500898,-1.56030178,0
0.65501796,-1.5605429,0
0.65506286,-1.56174868,0
0.65528738,-1.5677818,0
0.65640997,-1.59800237,0
0.65753256,-1.62826337,0
0.65865515,-1.65865905,0
0.65977773,-1.68929381,0
0.66,-1.69538504,0
0.66001,-1.69565935,0
0.66002,-1.69593367,0
0.66007,-1.6973055,0
0.66031999,-1.70417003,0
0.66142073,-1.73448483,0
0.66252147,-1.76492805,0
0.66400724,-1.80623115,0
0.665,-1.83405248,0
0.66501701,-1.83452773,0
0.66503402,-1.83500294,0
0.66511906,-1.83737849,0
0.66554427,-1.84923988,0
0.66689316,-1.88656634,0
0.66793552,-1.91512519,0
0.66897789,-1.94348806,0
0.67,-1.97114809,0
0.67002289,-1.97176533,0
0.67004578,-1.97238246,0
0.67016022,-1.97546644,0
0.67073245,-1.99084071,0
0.6720478,-2.02581409,0
0.67310563,-2.05362835,0
0.67416345,-2.08121825,0
0.675,-2.10287299,0
0.67501577,-2.10327822,0
0.67503154,-2.10368336,0
0.67511039,-2.1057078,0
0.67550463,-2.11579617,0
0.67650793,-2.14121764,0
0.67751124,-2.16614481,0
0.67851455,-2.1905672,0
0.67951785,-2.2144839,0
0.68,-2.2257994,0
0.68000865,-2.22600089,0
0.6800173,-2.22620234,0
0.68006057,-2.2272089,0
0.68027688,-2.23222462,0
0.6812565,-2.25456655,0
0.68223612,-2.27626738,0
0.68321574,-2.29734724,0
0.68419536,-2.31785752,0
0.685,-2.3342773,0
0.68501023,-2.33448367,0
0.68502047,-2.33468996,0
0.68507164,-2.33572046,0
0.68532751,-2.34084813,0
0.6862578,-2.35914193,0
0.6871881,-2.37684868,0
0.688465,-2.40022643,0
0.68955515,-2.41922395,0
0.69,-2.42663076,0
0.69001027,-2.4268012,0
0.69002054,-2.42697154,0
0.69007189,-2.42782177,0
0.69032864,-2.43203534,0
0.69157749,-2.45156523,0
0.69258543,-2.46614866,0
0.69359336,-2.47971253,0
0.69460129,-2.49232108,0
0.695,-2.49704765,0
0.69501057,-2.49717094,0
0.69502114,-2.49729412,0
0.69507399,-2.49790844,0
0.69533825,-2.50094065,0
0.69645516,-2.51300831,0
0.69757208,-2.52388716,0
0.698689,-2.53361133,0
0.69980592,-2.54215254,0
0.7,-2.54353939,0
0.70001403,-2.54363596,0
0.70002806,-2.5437323,0
0.70009821,-2.54421068,0
0.70044896,-2.54651757,0
0.70151817,-2.55260915,0
0.70258738,-2.55726785,0
0.7038334,-2.56094408,0
0.70493177,-2.56269313,0
0.705,-2.56275751,0
0.70501262,-2.56276839,0
0.70502524,-2.56277908,0
0.70508835,-2.56282968,0
0.70540386,-2.5630113,0
0.70662407,-2.56258023,0
0.70784427,-2.56036578,0
0.70906447,-2.5564637,0
0.71,-2.5522814,0
0.71001132,-2.55222401,0
0.71002264,-2.55216645,0
0.71007923,-2.55187615,0
0.71036221,-2.5503606,0
0.71144434,-2.54357911,0
0.71252647,-2.5351318,0
0.7136086,-2.52508512,0
0.71469073,-2.51352215,0
0.715,-2.5099324,0
0.71502592,-2.50963432,0
0.71505185,-2.5093354,0
0.71518147,-2.50782794,0
0.71582956,-2.49996627,0
0.7171381,-2.48189078,0
0.71844664,-2.46154749,0
0.71975518,-2.43907866,0
0.72,-2.43423383,0
0.72001816,-2.43390983,0
0.72003632,-2.43358541,0
0.72012713,-2.43195691,0
0.72058116,-2.42365213,0
0.72196771,-2.39567328,0
0.72318786,-2.36881111,0
0.724408,-2.33997933,0
0.725,-2.32487543,0
0.72503661,-2.32409578,0
0.72507322,-2.32331485,0
0.72525628,-2.31939074,0
0.72617155,-2.29927648,0
0.72762301,-2.25923674,0
0.72907448,-2.19239706,0
0.73,-2.18194637,0
0.73002266,-2.18124806,0
0.73004533,-2.18054913,0
0.73015865,-2.17704508,0
0.73072526,-2.15928533,0
0.73221128,-2.10958815,0
0.7335167,-2.06358533,0
0.73482213,-2.01553508,0
0.735,-2.00682138,0
0.735012,-2.00636818,0
0.735024,-2.00591479,0
0.73508399,-2.00364513,0
0.73538395,-1.99222796,0
0.73688375,-1.93337142,0
0.73815984,-1.88046531,0
0.73943594,-1.82562274,0
0.74,-1.79980798,0
0.74003644,-1.79847273,0
0.74007289,-1.79713637,0
0.7402551,-1.79043791,0
0.74116617,-1.75652125,0
0.74276914,-1.68161209,0
0.74437212,-1.60370656,0
0.745,-1.5624458,0
0.74501655,-1.56163532,0
0.7450331,-1.56082455,0
0.74511584,-1.55676647,0
0.74552954,-1.53636847,0
0.74714692,-1.45289183,0
0.74853964,-1.37889798,0
0.74993236,-1.30307804,0
0.75,-1.29772927,0
0.75005112,-1.29506537,0
0.75010225,-1.2923992,0
0.75035787,-1.27903383,0
0.75163599,-1.21132146,0
0.7530005,-1.13245694,0
0.75436501,-1.05190676,0
0.755,-1.00845684,0
0.75505895,-1.00516463,0
0.75511791,-1.00186981,0
0.75541268,-0.98535624,0
0.75688652,-0.90178377,0
0.75836037,-0.81661054,0
0.75983422,-0.73008249,0
0.76,-0.69758855,0
0.76004943,-0.69450613,0
0.76009887,-0.69142205,0
0.76034603,-0.67597643,0
0.76158185,-0.59809835,0
0.76293113,-0.50938943,0
0.76428042,-0.41957558,0
0.765,-0.36883859,0
0.76506043,-0.3649707,0
0.76512087,-0.3611009,0
0.76542303,-0.34172298,0
0.76693384,-0.24408355,0
0.76825969,-0.14529614,0
0.76958554,-0.04566535,0
0.77,-0.02586145,0
0.77002634,-0.02393681,0
0.77005267,-0.02201186,0
0.77018435,-0.01238225,0
0.77084275,0.03589222,0
0.77247328,0.15076383,0
0.77456625,0.29048495,0
0.775,0.32745264,0
0.77502444,0.32925243,0
0.77504887,0.33105239,0
0.77517105,0.34005472,0
0.77578194,0.38513449,0
0.77741795,0.50263582,0
0.77989356,0.67231588,0
0.78,0.68718157,0
0.78003025,0.68945394,0
0.7800605,0.69172641,0
0.78021174,0.70309043,0
0.78096795,0.75996174,0
0.78263112,0.88051152,0
0.78429428,1.00109439,0
0.785,1.04945617,0
0.7850534,1.05306007,0
0.7851068,1.05666387,0
0.78537381,1.07468181,0
0.78670885,1.16477443,0
0.78808342,1.26421296,0
0.78945799,1.36332528,0
0.79,1.41066246,0
0.79001474,1.41169417,0
0.79002949,1.41272585,0
0.79010321,1.41788365,0
0.79047182,1.44365934,0
0.79214023,1.56300405,0
0.79356984,1.66506411,0
0.79382065,1.68290149,0
0.79404062,1.69854515,0
0.79414426,1.70565873,0
0.79422411,1.71121697,0
0.79424259,1.71383131,0
0.79424862,1.7143296,0
0.79425465,1.71482788,0
0.7942848,1.71731908,0
0.79443553,1.72977073,0
0.795,1.76736725,0
0.79501601,1.76845958,0
0.79503203,1.76955186,0
0.79511209,1.77501263,0
0.79551243,1.80230215,0
0.79651286,1.87234402,0
0.79751329,1.94231878,0
0.79880791,2.03316607,0
0.8,2.1197717,0
0.80003383,2.12179044,-0.002866781
0.80006766,2.12380926,-0.00573348
0.80023682,2.13390424,-0.020065754
0.80108261,2.18437378,-0.091696563
0.8025888,2.28831642,-0.219131154
0.80409498,2.41084435,-0.346404217
0.805,2.46539052,-0.422800485
0.80503781,2.46736947,-0.425176114
0.80507562,2.46934709,-0.427551667
0.80526468,2.47921551,-0.439428293
0.80620997,2.52808888,-0.49878298
0.80743572,2.60347359,-0.575700341
0.8089302,2.67741463,-0.669389362
0.81,2.75021293,-0.736389664
0.81002054,2.78307543,-0.738499629
0.81004108,2.78429204,-0.740609561
0.81014378,2.78550854,-0.751158722
0.8106573,2.79158946,-0.803892096
0.81170264,2.82195645,-0.911176257
0.81238337,2.88538411,-0.980993615
0.8130641,2.92705004,-1.050774576
0.81374483,2.968569,-1.12051914
0.81433305,3.00989645,-1.180755572
0.81492126,3.04541378,-1.240964832
0.815,3.08076305,-1.249022709
0.81502333,3.08741298,-1.25206896
0.81504665,3.08879437,-1.255115161
0.81516329,3.09017552,-1.270345329
0.81574648,3.09707757,-1.346475741
0.81632966,3.13149376,-1.422572101
0.81691284,3.16574834,-1.498634408
0.81749603,3.19983001,-1.574662652
0.81839154,3.23371615,-1.691341949
0.81928705,3.28584968,-1.807959853
0.82,3.33734074,-1.900797195
0.82003696,3.37930826,-1.906678461
0.82007392,3.38131487,-1.912559581
0.82025873,3.38332054,-1.941962984
0.82106531,3.39333497,-2.070248022
0.82187188,3.4385559,-2.198463508
0.82312874,3.4832967,-2.398117728
0.82438559,3.55175266,-2.597603053
0.825,3.61883128,-2.695059193
0.82505396,3.65222131,-2.705482901
0.82510792,3.65483989,-2.715906231
0.82537772,3.65745669,-2.768017196
0.82672671,3.670514,-3.028429965
0.82807571,3.73514183,-3.288605943
0.82942471,3.80291087,-3.548545141
0.83,3.86919412,-3.65932702
0.83003655,3.90537089,-3.667486005
0.8300731,3.90693087,-3.675644787
0.83025584,3.90849011,-3.71643569
0.83116955,3.9162752,-3.920314686
0.83226773,3.95492611,-4.165326462
0.83372914,4.0051756,-4.49129533
0.835,4.07042106,-4.774542357
0.83507405,4.13401872,-4.792466371
0.8351481,4.13907273,-4.810389638
0.83551834,4.14208709,-4.899994795
0.83714674,4.1450982,-5.293871359
0.83854627,4.16010571,-5.632098923
0.83994579,4.23153682,-5.970059902
0.84,4.29088159,-5.983144719
0.84006196,4.34869515,-5.998346492
0.84012392,4.35387945,-6.013547735
0.84043373,4.35617918,-6.089545963
0.84198277,4.35847667,-6.469337957
0.8433535,4.36993114,-6.805135066
0.84472422,4.42642474,-7.140845927
0.845,4.48160847,-7.208431066
0.8452035,4.53530311,-7.256488907
0.84540699,4.55054869,-7.304542316
0.84642447,4.56165056,-7.54474261
0.84779303,4.57269207,-7.867649257
0.84916159,4.62706685,-8.190354765
0.85,4.68001508,-8.387951244
0.85015386,4.72971473,-8.421974888
0.85030772,4.73551474,-8.455996145
0.85107702,4.74129561,-8.626066622
0.85261514,4.76993252,-8.965919118
0.85415325,4.82047328,-9.305533073
0.855,4.86951158,-9.492394018
0.85544394,4.89246143,-9.584759989
0.85588789,4.90633643,-9.677107186
0.85749138,4.92009235,-10.01079308
0.85969392,4.96809007,-10.46944778
0.86,5.02908302,-10.53315736
0.8604498,5.03988136,-10.6247233
0.86089961,5.06797164,-10.71627431
0.86253073,5.09556904,-11.04814082
0.86470496,5.13247902,-11.49020259
0.865,5.16831033,-11.55016227
0.86531996,5.17341199,-11.61689241
0.86563992,5.18297929,-11.68361482
0.86723971,5.19248297,-12.01711088
0.86866442,5.23329786,-12.31394533
0.87,5.28923942,-12.59229357
0.87022437,5.2948043,-12.64237945
